,index,loss,accuracy,val_loss,val_accuracy,lr
0,0,6.216469764709473,0.6631952524185181,0.6657201051712036,0.7604138851165771,0.001
1,1,4.324649810791016,0.7603064775466919,0.6001760363578796,0.7837622761726379,0.001
2,2,3.992887258529663,0.7815329432487488,0.7168835401535034,0.7429026365280151,0.001
3,3,3.7680013179779053,0.7929753661155701,0.5943721532821655,0.7933138608932495,0.001
4,4,3.6316733360290527,0.8014659285545349,0.6558248996734619,0.7893340587615967,0.001
5,5,3.558629035949707,0.8068389296531677,0.5128822922706604,0.8177235126495361,0.001
6,6,3.3850512504577637,0.8123445510864258,0.4172978699207306,0.8492968678474426,0.001
7,7,3.3531198501586914,0.816291332244873,0.41521552205085754,0.8498275279998779,0.001
8,8,3.3319411277770996,0.8187456727027893,0.4792782664299011,0.8325815796852112,0.001
9,9,3.2877602577209473,0.8194752931594849,0.5381636619567871,0.8153356313705444,0.001
10,10,2.648148775100708,0.8509502410888672,0.39616847038269043,0.8561952710151672,0.000100000005
11,11,2.60921049118042,0.8525753617286682,0.3817075490951538,0.8591138124465942,0.000100000005
12,12,2.570283889770508,0.854067862033844,0.39814743399620056,0.8575218915939331,0.000100000005
13,13,2.506854295730591,0.8571523427963257,0.37818649411201477,0.8604404330253601,0.000100000005
14,14,2.456587076187134,0.8627243041992188,0.38334032893180847,0.8575218915939331,0.000100000005
15,15,2.4708476066589355,0.8601704835891724,0.3766731917858124,0.8609710931777954,0.000100000005
16,16,2.461942434310913,0.8625916242599487,0.39139115810394287,0.8591138124465942,0.000100000005
17,17,2.464808940887451,0.862856924533844,0.3789237141609192,0.8615017533302307,0.000100000005
18,18,2.407325506210327,0.8643162846565247,0.37449830770492554,0.8649508953094482,1.0000001e-05
19,19,2.36254620552063,0.8659414052963257,0.37029534578323364,0.8649508953094482,1.0000001e-05
20,20,2.332209587097168,0.8672680854797363,0.37675371766090393,0.8628283143043518,1.0000001e-05
21,21,2.350811243057251,0.8671022653579712,0.3706309497356415,0.8652162551879883,1.0000001e-05
22,22,2.3647711277008057,0.866671085357666,0.3711928427219391,0.8660122156143188,1.0000001e-06
23,23,2.2978217601776123,0.8677656054496765,0.3714313805103302,0.8654815554618835,1.0000001e-06
24,0,2.336930751800537,0.8772180080413818,0.29335397481918335,0.8957282900810242,1e-05
25,1,1.9139153957366943,0.898975133895874,0.29946914315223694,0.8946670293807983,1e-05
26,2,1.730237603187561,0.9091240763664246,0.26331549882888794,0.9081984758377075,1e-05
27,3,1.6376177072525024,0.9125070571899414,0.23269131779670715,0.9116476774215698,1e-05
28,4,1.4848196506500244,0.922357439994812,0.20269842445850372,0.9265056848526001,1e-05
29,5,1.4403257369995117,0.9251434206962585,0.2096077799797058,0.9243831038475037,1e-05
30,6,1.3456957340240479,0.9301515817642212,0.23265860974788666,0.9148315191268921,1e-05
31,7,1.2541385889053345,0.9329707026481628,0.22973279654979706,0.9185460209846497,1e-05
32,8,1.100719690322876,0.9397034645080566,0.16739538311958313,0.9387105107307434,1e-06
33,9,1.077860951423645,0.9427548050880432,0.17349018156528473,0.9376492500305176,1e-06
34,10,1.0390465259552002,0.9445458054542542,0.17452828586101532,0.9355266690254211,1e-06
35,11,1.0192185640335083,0.9454413056373596,0.17834767699241638,0.9352613687515259,1e-06
36,12,0.9817080497741699,0.9453417658805847,0.16776786744594574,0.9384452104568481,1e-07
37,13,0.994783878326416,0.9465689659118652,0.17050883173942566,0.9381799101829529,1e-07
38,14,0.9635210633277893,0.9469337463378906,0.16942746937274933,0.9384452104568481,1e-07
